method,profile,split,seed,parameters,vocabulary_size,configuration,embedding_dimension,mean_ndcg@5,positive_recall@5,candidate_recall@5,candidate_recall@50,candidate_recall@100,runtime_seconds,encoding_runtime_seconds,model_identifier,model_card_url,license_url,license,kaggle_status,decision,interpretation
Dense embeddings,dense_cloud,grouped_validation_80_20,42,model=sentence-transformers/all-MiniLM-L6-v2; normalized_embeddings=True; candidate_k=100; k=5,,model=sentence-transformers/all-MiniLM-L6-v2; normalized_embeddings=True; candidate_k=100; k=5,384,0.6583537502799566,0.3948979591836735,0.3948979591836735,0.8531462585034014,0.9700042517006803,519.9936139999772,519.7527359999949,sentence-transformers/all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,https://www.apache.org/licenses/LICENSE-2.0,Apache-2.0; https://www.apache.org/licenses/LICENSE-2.0,validated test artifact generated; not submitted,adopted; dense retrieval improves grouped-validation nDCG@5 (0.658354 > sparse char_tfidf_title_2 0.543535),Dense validation uses the fixed grouped holdout and the disclosed normalized embedding model.
Sparse+dense RRF,dense_cloud,grouped_validation_80_20,42,components=char_tfidf_title_2+dense; rrf_k=60; candidate_k=100; k=5; model=sentence-transformers/all-MiniLM-L6-v2,,components=char_tfidf_title_2+dense; rrf_k=60; candidate_k=100; k=5; model=sentence-transformers/all-MiniLM-L6-v2,384,0.6438034025399676,0.3608843537414966,0.3608843537414966,0.916028911564626,0.9854272959183674,524.1316096999799,519.7527359999949,sentence-transformers/all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,https://www.apache.org/licenses/LICENSE-2.0,Apache-2.0; https://www.apache.org/licenses/LICENSE-2.0,validated test artifact generated; not submitted,adopted; sparse+dense RRF improves grouped-validation nDCG@5 (0.643803 > sparse char_tfidf_title_2 0.543535),Dense validation uses the fixed grouped holdout and the disclosed normalized embedding model.
